global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
85,18K ZG 08 93,18KZG0893,Far South — Arequipa-Moquegua,Tier 3 -- Low Priority,0.3046,0.4986,0.4576,0.611,0.8342,0.032,0.8963,0.69,41.32,9.5,0.23,60.68,31.5,74.67,El Pedregal,-16.324,-72.113
86,17L QL 49 76,17LQL4976,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3045,0.5004,0.4605,0.6086,0.3843,0.9433,0.4049,0.51,1.13,7.97,0.85,40.22,26.96,238.15,Viru,-8.345,-78.739
87,18L VJ 75 79,18LVJ7579,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3043,0.4605,0.399,0.6608,0.1436,0.8639,0.1575,0.88,2.72,14.04,0.27,36.28,77.98,148.83,Palpa,-14.654,-75.225
88,18L YL 62 44,18LYL6244,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3039,0.5839,0.5642,0.5204,0.4439,0.8531,0.5684,2.19,2.94,5.72,0.37,5.57,53.02,88.12,Machupicchu,-13.157,-72.577
89,18L VJ 81 88,18LVJ8188,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3028,0.4827,0.4385,0.6273,0.1766,0.875,0.1897,0.69,2.5,4.65,3.22,37.72,86.5,148.0,Palpa,-14.573,-75.171
90,18L VJ 74 80,18LVJ7480,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3027,0.4643,0.4095,0.6519,0.1278,0.9097,0.1394,0.83,1.81,13.44,0.14,37.64,79.1,147.45,Palpa,-14.645,-75.234
91,18L YL 63 41,18LYL6341,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3018,0.5611,0.5436,0.5379,0.4275,0.8351,0.5017,1.48,3.3,5.71,0.95,5.67,50.97,91.22,Machupicchu,-13.184,-72.568
92,17L QL 47 72,17LQL4772,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3015,0.5206,0.4952,0.5791,0.4983,0.7729,0.5764,1.36,4.54,3.88,2.2,41.45,23.77,242.61,Viru,-8.381,-78.757
93,18L VJ 80 88,18LVJ8088,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3008,0.491,0.4558,0.6126,0.1721,0.91,0.1907,0.98,1.8,4.42,2.73,38.36,86.54,147.21,Palpa,-14.573,-75.18
94,18L YL 64 40,18LYL6440,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2998,0.5301,0.511,0.5656,0.3808,0.8105,0.472,1.93,3.79,5.62,2.06,5.64,50.68,92.56,Machupicchu,-13.193,-72.559
