global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,lat_center,lon_center
139,18L WJ 08 57,18LWJ0857,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5425,0.6735,0.0303,0.7668,1.22,41.96,-14.861,-74.919
140,18L TM 73 68,18LTM7368,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5418,0.5269,0.7112,0.6466,1.85,5.78,-12.039,-77.082
141,18L ZL 24 03,18LZL2403,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5403,0.3999,0.8855,0.4792,1.65,2.29,-13.517,-72.001
142,17M PN 45 15,17MPN4515,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5402,0.6819,0.5038,0.7674,1.11,8.23,-7.094,-79.684
143,17L QM 11 06,17LQM1106,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5371,0.5698,0.6873,0.6715,1.51,6.25,-8.075,-79.081
144,19L AF 83 03,19LAF8303,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5369,0.5219,0.6758,0.5633,0.74,6.48,-13.517,-71.92
145,18L YL 70 41,18LYL7041,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5361,0.4594,0.7227,0.4895,0.62,5.55,-13.184,-72.505
146,19L AF 83 02,19LAF8302,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5353,0.514,0.6745,0.5768,1.09,6.51,-13.526,-71.92
147,18L YL 68 39,18LYL6839,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5349,0.4494,0.725,0.5016,1.04,5.5,-13.202,-72.523
148,18K ZG 09 94,18KZG0994,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.5343,0.8976,0.0293,0.9712,0.76,42.36,-16.315,-72.104
149,17L QL 46 71,17LQL4671,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5324,0.5504,0.733,0.5957,0.76,5.34,-8.39,-78.757
150,18L VJ 79 93,18LVJ7993,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5321,0.2432,0.9261,0.2569,0.53,1.48,-14.528,-75.189
151,17L QL 20 99,17LQL2099,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5315,0.5505,0.7323,0.5949,0.75,5.35,-8.138,-79.0
152,18L YL 64 40,18LYL6440,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5301,0.3808,0.8105,0.472,1.93,3.79,-13.193,-72.559
153,18L TM 71 68,18LTM7168,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5299,0.5474,0.6152,0.7061,2.25,7.7,-12.039,-77.1
154,18L WJ 07 54,18LWJ0754,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5293,0.6535,0.0273,0.7402,1.17,43.23,-14.888,-74.928
155,17L QL 49 74,17LQL4974,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5292,0.439,0.9279,0.4817,0.89,1.44,-8.363,-78.73
156,18L WJ 06 58,18LWJ0658,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5286,0.6464,0.0362,0.7342,1.2,39.84,-14.852,-74.937
157,17M PN 47 13,17MPN4713,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5283,0.5355,0.7194,0.6468,1.72,5.61,-7.112,-79.666
158,17L QM 13 00,17LQM1300,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.528,0.5181,0.7575,0.6081,1.48,4.85,-8.129,-79.063
159,17L QL 49 75,17LQL4975,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5275,0.4249,0.9458,0.4722,1.0,1.08,-8.354,-78.739
160,18L ZL 24 06,18LZL2406,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5266,0.4033,0.7986,0.5509,2.68,4.03,-13.49,-72.001
161,19L AF 79 00,19LAF7900,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5265,0.4116,0.8441,0.4462,0.78,3.12,-13.544,-71.965
